rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
39,窄门（典藏插图版）诺贝尔文学奖得主纪德巅峰之作！傅雷翻译奖得主李玉民的法语直译本。余华读到浑身发抖，想要写出来的小说！,[法]安德烈·纪德 著 李玉民 译，紫图图书 出品,四川人民出版社,2025-02-01,44.0,55.0,8.0折,78745,100%推荐,http://product.dangdang.com/29845066.html
40,毛泽东选集（全四册，32开）,毛泽东 著,人民出版社,1991-06-01,56.7,81.0,7.0折,264510,99.9%推荐,http://product.dangdang.com/23413230.html
41,简·爱 九年级下 名著阅读课程化丛书  导读版 人民教育出版社,（英）夏绿蒂.勃朗特 著；宋兆霖 译,人民教育出版社,2018-10-01,36.6,48.8,7.5折,188042,100%推荐,http://product.dangdang.com/26475993.html
42,三体全3册套装三体123黑暗森林死神永生： 刘慈欣代表作，亚洲“雨果奖”获奖作品！中国科幻基石丛书 科幻小说代表作,刘慈欣,重庆出版社,2010-11-01,88.4,93.0,9.5折,2601250,99.9%推荐,http://product.dangdang.com/23579654.html
43,我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季羡林、余光中、丰子恺等联手献作，把深情写入文字，告诉你这世间原来是它们最惹人恋。,史铁生 汪曾祺 等 著，文通天下 出品,读者出版社,2022-02-01,22.4,49.8,4.5折,517947,100%推荐,http://product.dangdang.com/29370653.html
44,不要担心2小时和8公里以外的事情（一本鼓励你用“微小的锚点”稳住“巨大的不确定”的心理指南！）,李松涛 著；书田文化 出品,北京联合出版有限公司,2025-10-01,29.8,49.8,6.0折,12509,100%推荐,http://product.dangdang.com/29952480.html
45,俗世奇人（修订版）入选中小学生阅读指导目录,冯骥才,作家出版社,2010-09-01,18.0,18.0,10.0折,636685,99.6%推荐,http://product.dangdang.com/20445588.html
46,跨山海 : 26位古代诗词偶像的真实人生 限量亲签版 三面全彩刷边 赠精美书签藏书票 飞机盒+珍珠棉发货,《千古风流人物》项目组,北京联合出版有限公司,2025-12-01,138.0,168.0,8.2折,1160,99.9%推荐,http://product.dangdang.com/29985612.html
47,看世界 阅山河+游中国 访名校,藏梦工作室编，拾字文化绘,应急管理出版社,,59.6,119.6,5.0折,0,0%推荐,http://product.dangdang.com/410521140.html
48,时代广场的蟋蟀（麦克米伦世纪大奖小说典藏本）重点小学课外阅读推荐书目,[美]乔治·塞尔登,二十一世纪出版社集团,2017-09-01,12.6,29.8,4.2折,57993,100%推荐,http://product.dangdang.com/29719865.html
49,刘震云咸的玩笑印签版 刘震云新书 当当自营 现货发售 先下单先发货当当自营,刘震云,人民文学出版社,2026-01-01,49.8,69.0,7.2折,17777,99.9%推荐,http://product.dangdang.com/29981678.html
50,全球视野下的投资机会 时寒冰说未来二十年作者 经济趋势研究专家时寒冰十年磨一剑之作 解码资本流向 抢占财富先机,时寒冰,中信出版社,2025-08-31,65.0,88.0,7.4折,11736,99.9%推荐,http://product.dangdang.com/29929438.html
51,窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直译全新版 “你希望很快忘记吗？—我希望永远不忘”）,[法] 安德烈·纪德，译者 顾琪静，果麦文化 出品,天津人民出版社,2018-10-01,22.5,45.0,5.0折,559145,100%推荐,http://product.dangdang.com/25479247.html
52,了凡四训（2025年新版）,袁了凡，果麦文化  出品,三秦出版社,2025-04-30,17.5,35.0,5.0折,48067,100%推荐,http://product.dangdang.com/29871531.html
53,尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 130000多名读者热评！,（瑞典）拉格洛夫,南方出版社,2021-04-01,12.6,16.8,7.5折,339659,99.9%推荐,http://product.dangdang.com/23379456.html
54,本草纲目节气养生年历 蔡志忠本草纲目 顺应节气学养生 养出健康好体质  蔡志忠手绘 顺时养生人士收藏,蔡志忠;读客文化 出品,天津科学技术出版社,2025-09-30,39.9,69.9,5.7折,453,99.8%推荐,http://product.dangdang.com/29954969.html
55,十日终焉8因果无限流齐夏杀虫队队员当当自营,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2025-10-31,38.5,48.0,8.0折,16866,100%推荐,http://product.dangdang.com/29953844.html
56,小狗钱钱2—让孩子和家长受益一生的品格教育童话，官方授权正版,博多·舍费尔,中信出版社,2021-12-10,24.3,39.8,6.1折,35584,100%推荐,http://product.dangdang.com/29343044.html
57,罗尔德·达尔作品典藏（彩图拼音版）—了不起的狐狸爸爸,(英) 罗尔德·达尔 著； (英) 昆汀·布莱克绘；代维 译。,明天出版社,2018-09-01,13.3,28.0,4.8折,498255,100%推荐,http://product.dangdang.com/25575797.html
58,人教社 快乐读书吧 二年级下册 套装4册,曹文轩 陈先云 主编,人民教育出版社,,34.5,64.0,5.4折,108866,100%推荐,http://product.dangdang.com/410302360.html
