rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
74,十日终焉7极道  当当自营 杀虫队队员无限流,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2025-09-01,38.5,48.0,8.0折,25023,100%推荐,http://product.dangdang.com/29930838.html
75,如果西游是一群喵1,肥志,广东旅游出版社,2025-04-01,35.8,59.8,6.0折,121843,100%推荐,http://product.dangdang.com/29866802.html
76,一间只属于自己的房间（文淇同款！热播剧《我的阿勒泰》经典台词，女性主义奠基作品，李银河、杨澜推荐）,[英]弗吉尼亚・伍尔夫，果麦文化 出品,天津人民出版社,2024-04-01,19.9,39.8,5.0折,220450,100%推荐,http://product.dangdang.com/29715798.html
77,十日终焉2迷城,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2024-04-01,29.8,46.8,6.4折,77809,100%推荐,http://product.dangdang.com/29728513.html
78,十日终焉1囚笼,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2023-12-01,29.8,46.8,6.4折,89151,100%推荐,http://product.dangdang.com/29667984.html
79,金钱心理学 入选2024得到年度书单TOP15,［美］摩根 ・ 豪泽尔  后浪,民主与建设出版社,2023-06-01,21.8,56.0,3.9折,87991,100%推荐,http://product.dangdang.com/29576637.html
80,大道：段永平投资问答录 全球段永平首肯出版的问答录 100%段永平真言：日期明确，句句溯源,赵理亚 芒格书院,中信出版社,2025-05-31,70.5,98.0,7.2折,40907,100%推荐,http://product.dangdang.com/29874317.html
81,四大名著套装 西游记 红楼梦 三国演义 水浒传 五年级下册快乐读书吧推荐阅读 青少版无障碍阅读 中小学生课外阅读指导丛书共4册 12万读者好评！,吴承恩，施耐庵，曹雪芹，罗贯中，,时代文艺出版社,2012-07-01,50.3,59.2,8.5折,215005,99.9%推荐,http://product.dangdang.com/23276506.html
82,你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）,"卢思浩 著,博集天卷 出品",湖南文艺出版社,2022-09-26,47.3,49.8,9.5折,783374,100%推荐,http://product.dangdang.com/29460961.html
83,我有友情要出租（拼音版）,方素珍 著 郝洛玟 绘,新疆青少年出版社,2017-05-01,9.9,18.0,5.5折,422515,100%推荐,http://product.dangdang.com/25084833.html
84,四大名著知识点一本全 五年级课外阅读（中小学生课外阅读指导丛书）彩插无障碍阅读 智慧熊图书,闻钟,南方出版社,2022-03-01,14.9,19.8,7.5折,33982,100%推荐,http://product.dangdang.com/29387760.html
85,剪映真传：7天吃透短视频剪辑（手机版+电脑版）,富索索,清华大学出版社,2025-09-01,59.3,79.0,7.5折,2517,100%推荐,http://product.dangdang.com/29951999.html
86,此刻是春天 卢思浩2025全新长篇力作  纵使世界寒冬  但我耕种春天 当当自营,"卢思浩 著,博集天卷 出品",湖南文艺出版社,2025-07-01,31.1,51.8,6.0折,136721,100%推荐,http://product.dangdang.com/29914884.html
87,十日终焉6白羊,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2025-03-22,31.5,48.0,6.6折,46767,100%推荐,http://product.dangdang.com/29858553.html
88,跟着诗词去旅行 少年游学地理百科,日知图书 编著,北方妇女儿童出版社,2024-02-01,24.0,34.0,7.1折,558017,100%推荐,http://product.dangdang.com/29671906.html
89,苍穹山记全二册 墨香铜臭 手写出版后记+手写印签+惊喜印签绘 精装书盒典藏版 墨香铜臭 原名人渣反派自救系统 洛冰河×沈清秋 新增番外,墨香铜臭,广东旅游出版社,2025-10-30,108.0,117.0,9.2折,7611,100%推荐,http://product.dangdang.com/29960859.html
90,十日终焉3不息,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2024-06-01,31.5,48.0,6.6折,74543,100%推荐,http://product.dangdang.com/29741943.html
91,将门嫡女典藏版套装全4册 孟子义 王鹤棣主演将门独后 千山茶客代表作重生之将门毒后 精美典藏版重磅上市,"千山茶客  著,  悦读纪 出品",青岛出版社,2023-06-01,132.6,139.6,9.5折,20627,100%推荐,http://product.dangdang.com/29599472.html
92,小清欢【印特签版+当当定制贴纸】,云拿月 著，酷威文化 出品,江苏凤凰文艺出版社,2023-04-01,42.8,42.8,10.0折,60843,100%推荐,http://product.dangdang.com/29564098.html
93,纳瓦尔宝典：从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录,埃里克・乔根森,中信出版社,2022-05-31,42.1,68.0,6.2折,226238,100%推荐,http://product.dangdang.com/29393845.html
94,十日终焉4乐园,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2024-09-30,31.5,48.0,6.6折,69110,100%推荐,http://product.dangdang.com/29786039.html
95,十日终焉5万相,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2025-01-01,31.5,46.8,6.7折,56134,100%推荐,http://product.dangdang.com/29823549.html
96,没头脑和不高兴（注音版）,任溶溶,浙江少年儿童出版社,2021-08-01,15.0,25.0,6.0折,726909,100%推荐,http://product.dangdang.com/29291249.html
97,边城（沈从文诞辰120周年纪念典藏版）精选沈从文代表性的小说25篇，同类版本中内容量之多居首！重寻湘西的自由朴野之美！,沈从文著   凤凰含章 出品,武汉出版社,2013-08-01,13.8,35.0,3.9折,440490,99.9%推荐,http://product.dangdang.com/23311849.html
98,女人的胜利 余华现实主义代表作 余华写出轨！太真实太犀利了！荒诞的婚姻和夫妻 收录《明天就出来》读客当代文学文库,余华;读客文化 出品,江苏凤凰文艺出版社,2024-10-01,35.8,49.9,7.2折,118721,100%推荐,http://product.dangdang.com/29782108.html
99,刘擎西方现代思想讲义（畅销超80万册中学生高分作文素材库常驻寒暑假阅读书单，奇葩说导师刘擎经典之作讲透西方思想史，哲学知识读物正版书籍）,刘擎 著; 得到图书 出品,新星出版社,2021-01-17,49.0,79.0,6.2折,250454,100%推荐,http://product.dangdang.com/29180031.html
100,DK一分钟科学 数学,英国DK公司,电子工业出版社,2024-04-01,74.1,78.0,9.5折,18594,100%推荐,http://product.dangdang.com/29714655.html
