rank,title,director,actors,year,country,genre,rating,votes,quote,url
241,战争之王,安德鲁·尼科尔,尼古拉斯·凯奇 布里吉特·莫伊纳汉,2005,美国 德国,剧情 犯罪,8.7,415329,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
242,谍影重重2,保罗·格林格拉斯,马特·达蒙 布莱恩·考克斯,2004,美国 德国,动作 悬疑 惊悚,8.7,399595,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
243,蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 彼得·拉姆齐 罗德尼·罗斯曼,沙梅克·摩尔 杰克·约翰逊,2018,美国,动作 科幻 动画 冒险,8.6,756625,,https://movie.douban.com/subject/26374197/
244,攻壳机动队,押井守,田中敦子 大塚明夫,1995,日本,动作 科幻 动画,9.0,217835,,https://movie.douban.com/subject/1291936/
245,血钻,爱德华·兹威克,莱昂纳多·迪卡普里奥 杰曼·翰苏,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,421734,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
246,小姐,朴赞郁,金敏喜 金泰梨,2016,韩国,剧情 悬疑 情色 同性,8.5,574953,,https://movie.douban.com/subject/25977027/
247,魂断蓝桥,茂文·勒鲁瓦,费雯·丽 罗伯特·泰勒,1940,美国,剧情 爱情 战争,8.8,310576,,https://movie.douban.com/subject/1293964/
248,隐藏人物,西奥多·梅尔菲,塔拉吉·P·汉森 奥克塔维亚·斯宾瑟,2016,美国,剧情 传记 历史,8.9,271880,,https://movie.douban.com/subject/26615208/
249,血观音,杨雅喆,惠英红 吴可熙,2017,中国台湾,剧情 悬疑,8.6,559368,,https://movie.douban.com/subject/27113517/
250,房间,伦尼·阿伯拉罕森,布丽·拉尔森 雅各布·特伦布莱,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.7,399917,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
